[TID: ] 2020-08-19 14:20:59.357 INFO  --- [WelcomePageHandlerMapping.java:58] [main] - Adding welcome page template: index
[TID: ] 2020-08-19 14:20:59.771 INFO  --- [StartupInfoLogger.java:61] [main] - Started OneApplicationTests in 3.793 seconds (JVM running for 5.088)
[TID: ] 2020-08-19 14:21:00.067 DEBUG --- [BaseJdbcLogger.java:143] [main] - ==>  Preparing: SELECT * FROM user WHERE name = ? AND password = ? 
[TID: ] 2020-08-19 14:21:00.271 DEBUG --- [BaseJdbcLogger.java:143] [main] - ==> Parameters: one(String), one(String)
[TID: ] 2020-08-19 14:21:00.309 DEBUG --- [BaseJdbcLogger.java:143] [main] - <==      Total: 1
[TID: ] 2020-08-19 14:21:00.331 INFO  --- [ExecutorConfigurationSupport.java:218] [SpringContextShutdownHook] - Shutting down ExecutorService 'applicationTaskExecutor'
[TID: ] 2020-08-19 14:21:00.333 INFO  --- [DruidDataSource.java:2003] [SpringContextShutdownHook] - {dataSource-1} closing ...
[TID: ] 2020-08-19 14:21:00.344 INFO  --- [DruidDataSource.java:2075] [SpringContextShutdownHook] - {dataSource-1} closed
[TID: ] 2020-08-19 14:42:48.007 INFO  --- [AbstractTestContextBootstrapper.java:308] [main] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.one.RfidReaderTest], using SpringBootContextLoader
[TID: ] 2020-08-19 14:42:48.023 INFO  --- [AbstractContextLoader.java:264] [main] - Could not detect default resource locations for test class [com.example.one.RfidReaderTest]: no resource found for suffixes {-context.xml, Context.groovy}.
[TID: ] 2020-08-19 14:42:48.025 INFO  --- [AnnotationConfigContextLoaderUtils.java:83] [main] - Could not detect default configuration classes for test class [com.example.one.RfidReaderTest]: RfidReaderTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
[TID: ] 2020-08-19 14:42:48.191 INFO  --- [SpringBootTestContextBootstrapper.java:237] [main] - Found @SpringBootConfiguration com.example.one.OneApplication for test class com.example.one.RfidReaderTest
[TID: ] 2020-08-19 14:42:48.320 INFO  --- [AbstractTestContextBootstrapper.java:248] [main] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
[TID: ] 2020-08-19 14:42:48.342 INFO  --- [AbstractTestContextBootstrapper.java:177] [main] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@51bd8b5c, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7b50df34, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1b410b60, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2462cb01, org.springframework.test.context.support.DirtiesContextTestExecutionListener@19b843ba, org.springframework.test.context.transaction.TransactionalTestExecutionListener@64ec96c6, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@77659b30, org.springframework.test.context.event.EventPublishingTestExecutionListener@456d6c1e, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1e13529a, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1ec9bd38, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@452e19ca, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6b0d80ed, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6f8e8894]
[TID: ] 2020-08-19 14:42:48.733 INFO  --- [StartupInfoLogger.java:55] [main] - Starting RfidReaderTest on cuiyaozhongdeMacBook-Pro.local with PID 1768 (started by cuiyaozhong in /Users/cuiyaozhong/software/ideapace/one)
[TID: ] 2020-08-19 14:42:48.733 DEBUG --- [StartupInfoLogger.java:56] [main] - Running with Spring Boot v2.2.7.RELEASE, Spring v5.2.6.RELEASE
[TID: ] 2020-08-19 14:42:48.734 INFO  --- [SpringApplication.java:651] [main] - No active profile set, falling back to default profiles: default
[TID: ] 2020-08-19 14:42:49.558 INFO  --- [RepositoryConfigurationDelegate.java:249] [main] - Multiple Spring Data modules found, entering strict repository configuration mode!
[TID: ] 2020-08-19 14:42:49.562 INFO  --- [RepositoryConfigurationDelegate.java:127] [main] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[TID: ] 2020-08-19 14:42:49.604 INFO  --- [RepositoryConfigurationDelegate.java:187] [main] - Finished Spring Data repository scanning in 20ms. Found 0 Redis repository interfaces.
[TID: ] 2020-08-19 14:42:50.129 INFO  --- [PostProcessorRegistrationDelegate.java:335] [main] - Bean 'com.alibaba.druid.spring.boot.autoconfigure.stat.DruidSpringAopConfiguration' of type [com.alibaba.druid.spring.boot.autoconfigure.stat.DruidSpringAopConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
